Rammeprogram;Traktat kode (H2020);Programområde kode (H2020);Programområde (H2020);Program kode (H2020);Programkortnavn (H2020);Program (H2020);Programnivå 1 kortnavn (H2020);Programnivå 1 kode (H2020);Programnivå 1 (H2020);Prosjektnr;Prosjektkortnavn;Prosjektnavn;Utlysnings-id;Overordnet utlysnings-id;Topic kode;Topic;Søknadstype;Søknadstypenavn;Kontraktstatus;Kontrakt signeringsdato;Kontrakt startdato;Kontrakt sluttdato;Søknadsfrist;Søknadsdato;Varighet måneder;Vurderingspanel;Organisasjonsnummer;Organisasjonsnavn;Kortnavn;Organisasjon rolle;Organisasjon finansiell rolle;Deltakernr;FoU sektorkode;FoU sektor;FoU kategori;Kontraktspart 1;Kontraktspart 2;Adresse kommunenummer;Adresse kommune;Adresse fylkenummer;Adresse fylke;Adresse landsdel;Innvilget beløp organisasjon EUR
H2020;;EU.2.;Industrial Leadership;EU.2.1.;LEIT;Leadership in enabling and industrial technologies (LEIT);LEIT-ICT;EU.2.1.1.;Information and Communication Technologies;951956;Change2Twin;Create and Harvest Offerings to support Manufacturing SMEs to become Digital Twin Champions;H2020-DT-2019-2;H2020-DT-2018-2020;DT-ICT-03-2020;I4MS (phase 4) - uptake of digital game changers;IA;Innovation action;SIGNED;25.05.2020 00:00;01.06.2020 00:00;31.05.2024 00:00;13.11.2019 00:00;13.11.2019 00:00;48;Information and Communication Technology (ICT);919303808;SINTEF AS;SINTEF;COORDINATOR;BENEFICIARY;1;INS;Instituttsektor;Teknisk-industrielle institutter;706;22;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;3518202.75
H2020;;EU.3.;Societal Challenges;EU.3.7.;SECURITY;Secure societies - Protecting freedom and security of Europe and its citizens;;;;883188;CyberKit4SME;Democratizing a Cyber Security Toolkit for SMEs and MEs;H2020-SU-DS-2019;H2020-SU-DS-2018-2019-2020;SU-DS03-2019-2020;Digital Security and privacy for citizens and Small and Medium Enterprises and Micro Enterprises;IA;Innovation action;SIGNED;22.04.2020 00:00;01.06.2020 00:00;31.05.2023 00:00;22.08.2019 00:00;21.08.2019 00:00;36;;919303808;SINTEF AS;SINTEF;PARTICIPANT;BENEFICIARY;4;INS;Instituttsektor;Teknisk-industrielle institutter;706;22;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;626199.99999984
H2020;;EU.2.;Industrial Leadership;EU.2.3.;INNOSUPSME;Innovation in SMEs;;;;876696;FieldTwin;First centralized data platform for efficient and collaborative development of offshore energy projects;H2020-SMEInst-2018-2020-1;H2020-EIC-SMEInst-2018-2020;EIC-SMEInst-2018-2020;SME instrument;SME-1;SME instrument phase 1;CLOSED;06.09.2019 00:00;01.08.2019 00:00;30.11.2019 00:00;07.05.2019 00:00;06.05.2019 00:00;4;Energy | Information and Communication Technology (ICT);916735472;FUTUREON AS;ukjent;COORDINATOR;BENEFICIARY;1;NÆR;Næringsliv;Næringsliv;601;0;301;Oslo;3;Oslo;Oslo og Viken;50000
H2020;;EU.3.;Societal Challenges;EU.3.3.;ENERGY;Secure, clean and efficient energy;;;;779469;Haeolus;Hydrogen-Aeolic Energy with Optimised eLectrolysers Upstream of Substation;H2020-JTI-FCH-2017-1;H2020-JTI-FCH-2017-1;FCH-02-4-2017;Highly flexible electrolysers balancing the energy output inside the fence of a wind park;FCH2-IA;Innovation action;SIGNED;15.12.2017 00:00;01.01.2018 00:00;31.12.2021 00:00;20.04.2017 00:00;20.04.2017 00:00;48;;998433290;VARANGER KRAFTVIND AS;ukjent;PARTICIPANT;BENEFICIARY;6;NÆR;Næringsliv;Næringsliv;601;0;5405;Vadsø;54;Troms og Finnmark - Romsa ja Finnmárku - Tromssa ja Finmarkku;Nord-Norge;870624.99999984
H2020;;EU.3.;Societal Challenges;EU.3.2.;FOOD;Food security, sustainable agriculture and forestry, marine and maritime and inland water research;;;;862050;TechCare;Integrating innovative TECHnologies along the value Chain to improve small ruminant welfARE management;H2020-SFS-2019-1;H2020-SFS-2018-2020;SFS-08-2018-2019;Improving animal welfare;IA;Innovation action;SIGNED;18.06.2020 00:00;01.09.2020 00:00;31.08.2024 00:00;23.01.2019 00:00;23.01.2019 00:00;48;;988983837;NIBIO - NORSK INSTITUTT FOR BIOØKONOMI;NIBIO;PARTICIPANT;BENEFICIARY;5;INS;Instituttsektor;Primærnæringsinstitutter;701;10;3021;Ås;30;Viken;Oslo og Viken;352403.74999968
H2020;;EU.3.;Societal Challenges;EU.3.2.;FOOD;Food security, sustainable agriculture and forestry, marine and maritime and inland water research;;;;677407;SOILCARE;Soil Care for profitable and sustainable crop production in Europe;H2020-SFS-2015-2;H2020-SFS-2014-2015;SFS-02b-2015;Assessing soil-improving cropping systems;RIA;Research and Innovation action;SIGNED;09.02.2016 00:00;01.03.2016 00:00;31.08.2021 00:00;11.06.2015 00:00;11.06.2015 00:00;66;;988983837;NIBIO - NORSK INSTITUTT FOR BIOØKONOMI;NIBIO;PARTICIPANT;BENEFICIARY;11;INS;Instituttsektor;Primærnæringsinstitutter;701;10;3021;Ås;30;Viken;Oslo og Viken;329852.49999966
H2020;;EU.3.;Societal Challenges;EU.3.3.;ENERGY;Secure, clean and efficient energy;;;;818009;Be-Smart;BE-Smart: Innovative Building Envelope for Sustainable, Modular, Aesthetic, Reliable and efficient construction;H2020-LC-SC3-2018-RES-SingleStage;H2020-LC-SC3-2018-2019-2020;LC-SC3-RES-6-2018;Demonstrate significant cost reduction for Building Integrated PV (BIPV) solutions;IA;Innovation action;SIGNED;26.09.2018 00:00;01.10.2018 00:00;30.09.2022 00:00;13.02.2018 00:00;13.02.2018 00:00;48;;959432538;INSTITUTT FOR ENERGITEKNIKK;IFE;PARTICIPANT;BENEFICIARY;3;INS;Instituttsektor;Teknisk-industrielle institutter;706;3;3030;Lillestrøm;30;Viken;Oslo og Viken;769176.45
H2020;;EU.3.;Societal Challenges;EU.3.7.;SECURITY;Secure societies - Protecting freedom and security of Europe and its citizens;;;;700621;SmartResilience;Smart Resilience Indicators for Smart Critical Infrastructures;H2020-DRS-2015;H2020-DRS-2014-2015;DRS-14-2015;Critical Infrastructure Protection topic 3: Critical Infrastructure resilience indicator - analysis and development of methods for assessing resilience;RIA;Research and Innovation action;CLOSED;19.04.2016 00:00;01.05.2016 00:00;30.04.2019 00:00;27.08.2015 00:00;27.08.2015 00:00;36;;919303808;SINTEF AS;SINTEF;PARTICIPANT;BENEFICIARY;22;INS;Instituttsektor;Teknisk-industrielle institutter;706;22;5001;Trondheim;50;Trøndelag - Trööndelage;Trøndelag;176366.25
H2020;;EU.3.;Societal Challenges;EU.3.4.;TPT;Smart, green and integrated transport;;;;635898;CITYLAB;City Logistics in Living Laboratories;H2020-MG-2014_TwoStages;H2020-MG-2014-2015;MG-5.2-2014;Reducing impacts and costs of freight and service trips in urban areas;RIA;Research and Innovation action;CLOSED;17.04.2015 00:00;01.05.2015 00:00;30.04.2018 00:00;28.08.2014 00:00;28.08.2014 00:00;36;Consumer products and services;959056773;TRANSPORTØKONOMISK INSTITUTT Stiftelsen Norsk senter for samferdselsforskning;TØI;COORDINATOR;BENEFICIARY;1;INS;Instituttsektor;Miljøinstitutter;705;26;301;Oslo;3;Oslo;Oslo og Viken;860317.49999988
H2020;;EU.3.;Societal Challenges;EU.3.2.;FOOD;Food security, sustainable agriculture and forestry, marine and maritime and inland water research;;;;817806;SUMMER;Sustainable management of mesopelagic resources;H2020-BG-2018-2;H2020-BG-2018-2020;LC-BG-03-2018;Sustainable harvesting of marine biological resources;RIA;Research and Innovation action;SIGNED;03.05.2019 00:00;01.09.2019 00:00;31.08.2024 00:00;11.09.2018 00:00;11.09.2018 00:00;60;Agriculture / Rural Development / Fisheries;971349077;HAVFORSKNINGSINSTITUTTET;HI;PARTICIPANT;BENEFICIARY;16;INS;Instituttsektor;Primærnæringsinstitutter;701;16;4601;Bergen;46;Vestland;Vestlandet;267343.7499996
