prosjektnummer,prosjekttittel,soknadsfrist,soknadsdato,utlysnings_id,utlysningsaktivitet,utlysningtittel,prosjekttype,soknadstype,soknadstypevariant,sokstart,sokslutt,prosjektfase,prosjektstart,prosjektslutt,prosjektleder_kjonn,prosjektansvarlig_type,prosjektansvarlig_navn,kortnavn,organisasjonsnummer,kp1,kp2,sektor,kategori,kommune,kommunenummer,fylke,fylkenummer,landsdel,virkemiddel_sekvens,virkemiddel,hovedaktivitet_sekvens,hovedaktivitet,aktivitet,aktivitet_kode,fagomraade,fag,fagdisiplin,dr_stip_aarsverk,postdok_aarsverk,sokt_belop,tildelt_belop,prosjektleder
101233,Nordisk samarbeidsnemnd for naturvitenskap (NOS-N) ( videreført i prosjekt 247260),,,,,,Andre,Koordinerings- og støtteaktivitet,Nettverksstøtte,1993,2014,Avsluttet,1993,2015,MANN,Organisasjon,NOS-N,,0,800,00,Utlandet,Utland,Oslo,0301,Oslo,03,Oslo og Akershus,4,Nettverkstiltak,16,Internasjonale nettverkstiltak,Annet internasjonalt samarbeid,DIV-INT,Matematikk og naturvitenskap,Matematikk/naturvitenskap - tverrfaglig,Tverr/flerfaglig innen matematikk og naturvitenskap,0.0,0.0,260107.0,2169163.27,Asbjørn Mo
101367,NTVA økonomisk driftsbidrag (videreført i prosjekt 245635),,1994-12-16 00:00:00,,,,Institusjonsstøtte,Ingen søknadstype,Ingen søknadstypevariant,1994,2004,Avsluttet,1994,2014,MANN,Organisasjon,NORGES TEKNISKE VITENSKAPSAKADEMI NTVA,NTVA,977198852,930,19,Øvrige,Øvrige andre,Trondheim - Tråante,5001,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,10,Strategisk institusjonsstøtte,Gen. andre institusjoner,GENINST,Matematikk og naturvitenskap,Matematikk/naturvitenskap - tverrfaglig,Tverr/flerfaglig mat.nat og andre fagområder,0.0,0.0,1300000.0,11700000.0,Hein Johnson
103611,Finansiering av forskningsinfrastruktur (videreført i prosj. 210331),,1989-12-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1990,2010,Avsluttet,1990,2011,KVINNE,Organisasjon,NSD - NORSK SENTER FOR FORSKNINGSDATA AS,NSD,985321884,707,41,Instituttsektor,Øvrige forskningsinstitutter,Bergen,4601,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,10,Strategisk institusjonsstøtte,Norsk samf.vit.datatjen.basis,NSDBASIS,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig samfunnsvit og andre fagområder,0.0,0.0,3800590.0,169457945.0,Ingunn Stangeby
104161,FoU-statistikk - SSB,,,,,,Andre,Ingen søknadstype,Ingen søknadstypevariant,1994,2017,Avsluttet,1994,2018,MANN,Organisasjon,STATISTISK SENTRALBYRÅ,SSB,971526920,707,08,Instituttsektor,Øvrige forskningsinstitutter,Oslo,0301,Oslo,03,Oslo og Akershus,5,Diverse FoU-relaterte aktiviteter,19,Planlegging/utredning/evaluering,Statistikk og kunnsk.grunnlag,STAB,Annet,Strategiske oppgaver,Strategiske oppgaver,0.0,0.0,18550000.0,38255900.0,Frank Foyn
104309,Kontingent IODP,,,,,,Institusjonsstøtte,Koordinerings- og støtteaktivitet,Nettverksstøtte,1994,2013,Avsluttet,1994,2019,KVINNE,Organisasjon,European Consortium for Ocean Research Drilling (ECORD),,0,800,00,Utlandet,Utland,,,,,,4,Nettverkstiltak,16,Internasjonale nettverkstiltak,Annet internasjonalt samarbeid,DIV-INT,Matematikk og naturvitenskap,Geofag,Marin geologi,0.0,0.0,42000000.0,146330842.0,Hilde Jerkø
104865,Grunnbevilgning Møreforskning (Videreføres i prosjekt 247231),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,KVINNE,Organisasjon,MØREFORSKING AS,MØREFORSK,991436502,702,34,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Ålesund,1508,Møre og Romsdal,15,Vestlandet,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,17745000.0,56556000.0,Elisabeth Maråk Støle
104866,Grunnbevilgning Nordlandsforskning (Videreføres i prosjekt 247239),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,KVINNE,Organisasjon,NORDLANDSFORSKNING AS,NFORSK,989714309,702,35,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Bodø,1804,Nordland - Nordlánnda,18,Nord-Norge,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,20740000.0,56837000.0,Iselin Marstrander
104867,Grunnbevilgning Trøndelag Forskning og Utvikling AS (Videreføres i prosjekt 247240),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,MANN,Organisasjon,TRØNDELAG FORSKNING OG UTVIKLING AS,TFOU,989229389,702,39,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Steinkjer,5006,Trøndelag - Trööndelage,50,Trøndelag,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,9300000.0,28449000.0,Øyvind Skogvold
104868,Grunnbevilgning Telemarksforskning - Bø (Videreføres i prosjekt 247241),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,MANN,Organisasjon,STIFTELSEN TELEMARKSFORSKING,TMFORSK,948639238,702,37,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Midt-Telemark,4020,Telemark,40,Østlandet ellers,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,9800000.0,36029000.0,Karl Gunnar Sanda
104869,Grunnbevilgning Vestlandsforskning (Videreføres i prosjekt 247242),,1994-01-01 00:00:00,,,,Institusjonsstøtte,Grunnbevilgninger,Grunnbevilgninger - Ingen søknadstypevariant,1994,2008,Avsluttet,1994,2014,KVINNE,Organisasjon,STIFTINGA VESTLANDSFORSKING,VESTFORSK,965919627,702,38,Instituttsektor,Nasjonale samfunnsvitenskapelige institutter,Sogndal,4640,Vestland,46,Vestlandet,3,Infrastruktur og institusjonelle tiltak,9,Basisbevilgninger,Resultatbasert grunnbevilgning - Samf.vitensk.institutter,RBGRUNSAMF,Samfunnsvitenskap,Samfunnsvitenskap - tverrfaglig,Tverr/flerfaglig innen samfunnsvitenskap,0.0,0.0,15185000.0,41485000.0,Merete Lunde
